0714 01 574|#N/A|BB00|BB0|120||120|021306|C|021306|50|999999|999000|PC|000|X|
0714 03  14|071403 14 061   24|BB00|BB0|120||120|021401|A|021401|270|999999|999000|PC|000|X|
0714 23  100|071423 100060    1|BB00|BB0|120||120|021402|A|021402|168|999999|999000|PC|000|X|
0714 23  101|071423 101060   10|BB00|BB0|120||120|021403|A|021403|20|999999|999000|PC|000|X|
0714 23  102|071423 102060   10|BB00|BB0|120||120|021403|B|021403|20|999999|999000|PC|000|X|
0714 577 114|#N/A|BB00|BB0|120||120|021403|C|021403|30|999999|999000|PC|000|X|
0714 253 50|071425350 060    1|BB00|BB0|120||120|021404|A|021404|100|999999|999000|PC|000|X|
0714 63  40|071463 40 090    1|BB00|BB0|120||120|021405|B|021405|10|999999|999000|PC|000|X|
0965 63  100|096563 100090    1|BB00|BB0|120||120|021405|A|021405|48|999999|999000|PC|000|X|
0714 02  76|071402 76 061    1|BB00|BB0|120||120|021501|A|021501|70|999999|999000|PC|000|X|
0714 02  77|071402 77 061    1|BB00|BB0|120||120|021501|B|021501|60|999999|999000|PC|000|X|
0949 000 3|09490003  961    1|BB00|BB0|120||120|021501|C|021501|10|999999|999000|PC|000|X|
0714 03  17|071403 17 061   12|BB00|BB0|120||120|021502|A|021502|70|999999|999000|PC|000|X|
0714 63  41|071463 41 064    1|BB00|BB0|120||120|021502|B|021502|45|999999|999000|PC|000|X|
0714 01 558|#N/A|BB00|BB0|120||120|021503|C|021503|30|999999|999000|PC|000|X|
0714 06  01|071406 01 061   10|BB00|BB0|120||120|021503|A|021503|70|999999|999000|PC|000|X|
0715 06 021|#N/A|BB00|BB0|120||120|021503|B|021503|70|999999|999000|PC|000|X|
0714 34 035|#N/A|BB00|BB0|120||120|021504|A|021504|90|999999|999000|PC|000|X|
0709 913 715|#N/A|BB00|BB0|120||120|021505|A|021505|95|999999|999000|PC|000|X|
0700 913 735|#N/A|BB00|BB0|120||120|021506|A|021506|36|999999|999000|PC|000|X|
0714 61  90|071461 90 060    1|BB00|BB0|120||120|021601|A|021601|140|999999|999000|PC|000|X|
0714 500|0714500   064    1|BB00|BB0|120||120|021603|C|021603|60|999999|999000|PC|000|X|
0714 64 400|#N/A|BB00|BB0|120||120|021603|B|021603|24|999999|999000|PC|000|X|
0885 20  02|088520 02 061    1|BB00|BB0|120||120|021603|A|021603|100|999999|999000|PC|000|X|
0715 40  100|071540 100064    1|BB00|BB0|120||120|021604|a|021604|60|999999|999000|PC|000|X|
0715 42  01|071542 01 090    1|BB00|BB0|120||120|021604|A|021604|240|999999|999000|PC|000|X|
0713 305 40|071330540 060    1|BB00|BB0|120||120|021605|A|021605|45|999999|999000|PC|000|X|
0714 34 080|#N/A|BB00|BB0|120||120|021701|A|021701|90|999999|999000|PC|000|X|
0714 63  34|071463 34 090    1|BB00|BB0|120||120|021702|A|021702|20|999999|999000|PC|000|X|
0714 63  35|071463 35 090    1|BB00|BB0|120||120|021702|B|021702|30|999999|999000|PC|000|X|
0714 63  36|071463 36 090    1|BB00|BB0|120||120|021702|C|021702|20|999999|999000|PC|000|X|
0715 53  200|071553 200061    1|BB00|BB0|120||120|021703|A|021703|150|999999|999000|PC|000|X|
0608 116 100|0608116100061    1|BB00|BB0|120||120|021704|A|021704|120|999999|999000|PC|000|X|
0714 02  03|071402 03 064   10|BB00|BB0|120||120|021704|B|021704|100|999999|999000|PC|000|X|
0715 55  10|071555 10 061    1|BB00|BB0|120||120|021704|C|021704|40|999999|999000|PC|000|X|
0715 76  08|071576 08 061    1|BB00|BB0|120||120|021705|A|021705|200|999999|999000|PC|000|X|
0827 500 010|0827500010961    1|BB00|BB0|120||120|021706|A|021706|40|999999|999000|PC|000|X|
0585 90|058590    061    1|BB00|BB0|120||120|021901|A|021901|270|999999|999000|PC|000|X|
0714 580 00|071458000 961    1|BB00|BB0|120||120|021902|A|021902| |999999|999000|PC|000|X|
0691 500|0691500   090    1|BB00|BB0|120||120|021903|A|021903|280|999999|999000|PC|000|X|
0984 990 100|0984990100061    1|BB00|BB0|120||120|022101|A|022101|70|999999|999000|PC|000|X|
0715 67 80|#N/A|BB00|BB0|120||120|022102|A|022102|80|999999|999000|PC|000|X|
0891 880|#N/A|BB00|BB0|120||120|022103|A|022103|80|999999|999000|PC|000|X|
0558 10|055810    061    1|BB00|BB0|120||120|022104|A|022104|60|999999|999000|PC|000|X|
0558 13|055813    090    1|BB00|BB0|120||120|022104|B|022104|60|999999|999000|PC|000|X|
0695 071|0695071   961    1|BB00|BB0|120||120|022104|C|022104|500|999999|999000|PC|000|X|
0613 122 08|061312208 064   10|BB00|BB0|120||120|022301|A|022301|40|999999|999000|PC|000|X|
0613 122 11|061312211 064   10|BB00|BB0|120||120|022301|B|022301|40|999999|999000|PC|000|X|
0613 122 12|061312212 064   10|BB00|BB0|120||120|022301|C|022301|40|999999|999000|PC|000|X|
0613 122 10|061312210 064   10|BB00|BB0|120||120|022302|A|022302|40|999999|999000|PC|000|X|
0613 122 13|061312213 064   10|BB00|BB0|120||120|022302|B|022302|40|999999|999000|PC|000|X|
0613 122 14|061312214 064   10|BB00|BB0|120||120|022302|C|022302|40|999999|999000|PC|000|X|
0613 120 08|061312008 064   10|BB00|BB0|120||120|022303|A|022303|60|999999|999000|PC|000|X|
0613 130 05|061313005 061   10|BB00|BB0|120||120|022303|B|022303|60|999999|999000|PC|000|X|
0613 130 06|061313006 061   10|BB00|BB0|120||120|022303|C|022303|60|999999|999000|PC|000|X|
0613 130 08|061313008 061   10|BB00|BB0|120||120|022304|A|022304|60|999999|999000|PC|000|X|
0613 131 10|061313110 061   10|BB00|BB0|120||120|022304|B|022304|60|999999|999000|PC|000|X|
1713 92 07|#N/A|BB00|BB0|120||120|022304|C|022304|30|999999|999000|PC|000|X|
0613 132 03|061313203 061   10|BB00|BB0|120||120|022305|A|022305|60|999999|999000|PC|000|X|
0613 132 04|061313204 061   10|BB00|BB0|120||120|022305|B|022305|60|999999|999000|PC|000|X|
0613 140 15|061314015 061   10|BB00|BB0|120||120|022305|C|022305|80|999999|999000|PC|000|X|
0613 140 20|061314020 061   10|BB00|BB0|120||120|022306|A|022306|40|999999|999000|PC|000|X|
0613 140 25|061314025 061   10|BB00|BB0|120||120|022306|B|022306|40|999999|999000|PC|000|X|
0613 140 40|061314040 061   10|BB00|BB0|120||120|022306|C|022306|80|999999|999000|PC|000|X|
0613 140 27|061314027 061   10|BB00|BB0|120||120|022501|A|022501|60|999999|999000|PC|000|X|
0613 201 2|06132012  960    1|BB00|BB0|120||120|022501|B|022501|60|999999|999000|PC|000|X|
0613 261 04|061326104 060    1|BB00|BB0|120||120|022501|C|022501|60|999999|999000|PC|000|X|
0613 120 10|061312010 064   10|BB00|BB0|120||120|022502|C|022502|60|999999|999000|PC|000|X|
0613 120 12|061312012 064   10|BB00|BB0|120||120|022502|B|022502|60|999999|999000|PC|000|X|
0613 140 10|061314010 061   10|BB00|BB0|120||120|022502|A|022502|90|999999|999000|PC|000|X|
0613 132 025|0613132025061   10|BB00|BB0|120||120|022503|C|022503|90|999999|999000|PC|000|X|
0613 140 45|061314045 061   10|BB00|BB0|120||120|022503|A|022503|60|999999|999000|PC|000|X|
0613 200 07|061320007 960    1|BB00|BB0|120||120|022503|B|022503|90|999999|999000|PC|000|X|
0613 200 09|061320009 960    1|BB00|BB0|120||120|022504|A|022504|60|999999|999000|PC|000|X|
0613 201 1|06132011  960    1|BB00|BB0|120||120|022504|B|022504|90|999999|999000|PC|000|X|
0613 280 21|061328021 060    1|BB00|BB0|120||120|022504|C|022504|60|999999|999000|PC|000|X|
0613 210 21|061321021 060    1|BB00|BB0|120||120|022505|A|022505|40|999999|999000|PC|000|X|
0613 473 3|06134733  060    1|BB00|BB0|120||120|022505|D|022505|40|999999|999000|PC|000|X|
0712 014 05|#N/A|BB00|BB0|120||120|022505|B|022505|50|999999|999000|PC|000|X|
0613 421 10|061342110 060    1|BB00|BB0|120||120|022506|B|022506|30|999999|999000|PC|000|X|
0613 430 311|0613430311060    1|BB00|BB0|120||120|022506|C|022506|40|999999|999000|PC|000|X|
0613 437 10|061343710 060    1|BB00|BB0|120||120|022506|D|022506|60|999999|999000|PC|000|X|
0613 251 08|061325108 060    1|BB00|BB0|120||120|022701|A|022701|100|999999|999000|PC|000|X|
0613 261 055|0613261055060    1|BB00|BB0|120||120|022701|C|022701|60|999999|999000|PC|000|X|
0613 262 2|06132622  060    1|BB00|BB0|120||120|022701|B|022701|60|999999|999000|PC|000|X|
0613 140 30|061314030 061   10|BB00|BB0|120||120|022702|A|022702|60|999999|999000|PC|000|X|
0613 261 035|0613261035060    1|BB00|BB0|120||120|022702|B|022702|60|999999|999000|PC|000|X|
